Class,Email_Bounce,Phone_Bounce,Address_Match_Flag,Newsletter_Flag,Card_Validity,Order_Value,Order_Amount,Item_Number_01,Billing_Address_Check,Shipping_Address_Check,Bank_Account_Check,Card_Check,Cookie_Check,IP_Check,Billing_Postal_Check,Billing_City_Check,Billing_Postal_City_Match,Shipping_Postal_Check,Shipping_City_Check,Shipping_Postal_City_Match,Session_Time,New_Customer,Previous_Order_Amount,Previous_Order_Value,Ordered_hours,Age,Payment_Method_credit_card,Payment_Method_debit_card,Payment_Method_debit_note,Order_Weekday_Monday,Order_Weekday_Saturday,Order_Weekday_Sunday,Order_Weekday_Thursday,Order_Weekday_Tuesday,Order_Weekday_Wednesday
0,1,0,1,1,5.2006,17.8,1,406811,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0.0,9.216666666666667,51,0,0,0,0,1,0,0,0,0
0,1,1,0,0,12.2007,18.2,1,600953,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,0.0,17.6,54,1,0,0,0,0,0,0,0,1
0,1,0,1,0,12.2007,10.8,1,406310,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0.0,11.216666666666667,52,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1.2007,54.5,1,307359,0,0,0,1,0,0,0,0,0,0,0,0,11,0,4,75.72,2.1166666666666667,58,0,0,0,0,0,0,0,0,0
0,1,1,1,0,12.2006,19.99,1,200767,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0.0,23.766666666666666,55,1,0,0,0,0,0,0,1,0
0,0,0,0,0,2.2007,22.95,1,405897,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,6.95,13.216666666666667,49,1,0,0,0,1,0,0,0,0
0,1,0,1,0,11.2007,9.8,1,303950,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,10.44,14.716666666666667,46,0,0,0,0,0,0,1,0,0
0,0,0,1,0,5.2005,17.5,1,400124,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0.0,8.85,39,0,0,0,0,0,1,0,0,0
0,1,0,0,0,9.2007,9.99,1,508801,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,6.1,16.283333333333335,71,1,0,0,0,0,1,0,0,0
1,0,0,1,0,11.2006,57.8,1,400914,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,16.716666666666665,46,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.2007,168.19,4,402697,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,82.32,8.416666666666666,51,1,0,0,1,0,0,0,0,0
0,0,0,1,0,2.2006,18.2,1,106590,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,12.38,2.8166666666666664,59,0,0,0,0,0,0,0,0,1
0,1,0,1,0,6.2006,68.8,2,402454,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0.0,11.733333333333333,51,0,0,0,1,0,0,0,0,0
0,0,0,1,0,11.2007,19.99,1,201402,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0.0,4.966666666666667,60,0,0,0,0,0,1,0,0,0
0,1,0,0,0,3.2007,54.5,1,207610,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,55.4,0.13333333333333333,60,1,0,0,1,0,0,0,0,0
